500 1257
0 20
148 315 3765
315 457 54
323 278 9780
258 175 1054
232 307 7390
420 299 6200
162 135 3066
409 481 5231
15 123 2968
167 173 9035
184 353 2214
408 51 6252
366 263 9538
102 93 7836
91 201 9730
345 20 7201
10 162 3002
431 152 10
422 410 7204
161 397 3135
300 442 -709
268 341 7817
257 377 3252
325 360 7800
15 171 5302
356 424 5273
116 47 1039
29 201 6294
394 321 1155
9 29 3025
5 359 4973
452 222 7075
73 154 8857
127 203 4922
329 133 -434
342 326 3457
60 412 8375
238 246 4197
96 483 4272
288 345 7913
107 117 9325
341 446 5078
485 86 9424
313 320 3081
279 468 6026
447 156 -268
161 97 -402
216 122 7865
194 319 5151
86 401 1893
434 328 6990
453 109 9962
9 325 1559
172 442 4677
274 218 1533
239 439 1134
35 249 5440
406 187 1209
454 350 4085
90 22 4718
56 80 7074
334 3 6530
239 143 1144
150 439 5917
475 302 792
64 38 5287
493 395 7957
73 456 6815
365 255 2599
275 320 8776
144 113 9117
147 25 4910
122 133 8914
109 96 1914
199 208 6149
69 252 4867
157 397 9595
457 22 98
377 410 340
421 5 6081
201 97 7033
255 415 9214
153 319 -555
31 220 -324
117 476 6345
432 215 2826
396 264 8898
207 173 2009
281 108 4863
77 90 6705
497 370 6455
137 423 2683
51 75 5419
267 1 7510
340 420 314
179 259 3462
298 266 6929
292 474 7364
136 352 5062
111 330 637
314 262 1307
376 430 9017
437 93 3827
183 1 531
209 288 8341
400 460 7587
499 39 4930
431 270 6642
192 0 6901
140 255 5188
357 54 7353
156 335 9342
90 344 8254
369 328 7875
25 130 2198
105 451 8880
26 99 2614
210 334 2742
351 120 2955
407 369 5092
410 412 5349
271 340 9321
19 132 9924
89 471 4689
32 373 7580
443 144 6139
344 394 -245
257 427 3026
49 456 8436
274 192 4561
449 466 1238
202 69 1418
219 32 5104
240 46 1545
397 420 1186
313 126 3665
392 264 9167
293 264 428
7 348 7208
171 274 6217
444 361 6301
195 362 7969
99 398 2959
284 478 1779
20 201 8676
113 487 4490
228 129 2717
13 462 5063
186 117 4065
317 438 2580
296 340 -73
405 319 603
14 265 9471
186 139 8865
206 363 2896
182 319 1071
276 356 2722
273 391 9726
178 241 5598
339 206 8023
131 381 680
4 365 7432
38 389 1705
329 344 -866
179 164 3023
403 194 4517
244 343 9191
263 345 1183
119 436 5628
205 39 6681
359 373 6181
456 191 1232
89 202 5103
389 26 8100
66 497 7063
74 461 7629
490 392 2053
286 296 6504
108 112 475
141 144 8009
114 55 2086
208 256 5405
85 296 5172
284 337 -23
254 85 7590
138 43 -310
471 318 1851
388 455 9795
227 67 6153
252 347 5142
440 204 8740
126 85 -108
404 79 -688
159 314 2633
57 60 9134
353 82 834
472 157 7144
10 419 5510
55 319 492
486 98 7829
483 156 7063
2 31 89
391 371 2987
192 53 8103
314 206 9159
288 238 -760
82 327 5081
346 278 9092
142 430 8957
410 213 3361
155 95 5511
241 444 8334
306 229 4502
393 369 6162
151 481 5058
30 114 -7
209 330 8911
241 325 5058
481 105 7872
170 232 8795
207 282 9985
157 216 -524
356 166 495
92 226 8942
308 41 6258
43 478 6523
58 260 4919
464 437 8244
324 369 3001
94 121 5413
336 249 4280
364 308 7335
86 475 1468
74 235 5062
45 219 4265
112 177 6654
125 399 -302
354 169 4062
468 215 2005
478 52 8696
401 63 5924
384 2 3265
387 304 3605
87 338 5043
272 343 5409
455 18 -294
258 416 4751
104 15 5274
408 224 8333
119 58 400
463 296 2467
359 417 514
49 491 3695
355 172 4079
181 461 7012
53 143 7901
451 409 4905
388 336 5396
195 147 -205
138 341 9230
396 59 1025
239 91 5814
57 455 6679
139 353 3128
194 132 2804
217 234 8339
142 178 8636
330 15 -927
308 477 1524
305 471 6910
179 103 3875
108 64 9926
110 278 1202
176 385 632
84 384 6315
275 187 6857
488 284 4475
112 416 965
394 87 670
108 244 8607
84 244 5534
395 238 4192
74 266 7832
34 294 2900
30 305 2774
496 0 978
18 367 7283
88 163 3218
156 439 1164
146 28 822
52 311 8209
134 445 9841
325 496 -587
285 450 4321
65 327 6910
473 70 6501
388 180 3199
331 326 5728
402 278 5728
52 148 4361
467 239 4834
211 172 2327
242 142 6868
474 180 2120
474 115 1470
248 394 4019
254 116 1464
384 53 9192
92 127 4783
398 325 6321
257 412 694
445 414 4269
40 390 3849
44 314 -494
392 317 3176
202 315 6670
123 372 9675
77 466 1568
385 45 3573
266 385 4309
160 72 -195
305 169 6446
412 199 8801
348 472 4202
463 442 7330
316 104 4685
182 64 2585
290 392 969
47 13 1974
476 392 2682
446 424 8878
350 273 4686
285 340 1359
452 48 2887
428 61 7627
172 496 6331
8 126 3733
88 288 973
251 218 4163
231 48 8854
168 389 -96
310 86 5810
68 39 4823
331 122 5791
72 171 7108
317 114 -334
250 451 5642
427 488 -923
365 240 1514
243 303 5303
375 395 5799
67 36 7890
161 101 1599
173 390 7200
180 24 673
4 372 5233
119 157 6780
23 78 2276
233 110 7472
302 372 8775
393 435 -483
106 474 6755
65 462 1646
253 266 -580
229 125 766
261 100 9930
492 54 -8
434 254 4419
204 220 5824
207 244 1270
322 162 4913
496 156 1289
200 192 1435
237 338 5762
56 302 2220
56 433 8167
62 346 5926
428 192 1535
201 428 6777
395 350 2611
82 350 2877
313 18 3479
424 276 5478
60 71 1268
17 338 6711
297 408 8151
484 345 -611
426 80 2261
367 241 1792
457 413 531
330 441 6638
433 434 5846
292 250 1323
51 401 3497
58 94 5612
421 450 4487
50 417 9361
249 358 2649
316 45 -24
43 23 237
1 223 6822
327 55 410
42 173 9457
292 325 9625
283 406 4504
489 228 5000
104 204 -474
450 169 834
321 87 1082
238 492 1080
301 60 321
262 76 3027
185 97 -7
278 490 1244
310 67 7550
387 9 5341
445 382 4320
46 272 5040
283 15 9236
484 350 1586
392 257 539
477 147 7290
206 123 4414
443 282 7471
418 442 2839
175 374 5589
57 251 3799
438 312 4915
135 357 3261
124 144 -102
145 393 3757
218 236 8230
293 278 3049
19 306 2458
226 15 9774
184 209 3027
128 446 3485
282 173 5814
208 304 7112
420 436 6704
253 309 3907
139 247 891
247 362 7287
4 227 8794
129 199 8234
130 297 9897
67 264 8195
215 32 -753
315 419 2634
35 173 5709
309 469 633
494 437 6003
265 368 7295
387 459 379
240 110 6649
438 457 7225
198 320 3788
356 363 6638
234 297 6539
200 497 8329
114 240 9094
324 474 -488
155 489 6058
16 198 1920
375 78 5126
435 111 6239
289 31 7628
414 340 4475
31 283 2869
482 383 6538
411 227 7162
128 274 -956
6 55 7278
99 153 5151
224 38 1042
75 405 7529
382 306 7446
389 20 7842
330 393 3653
50 203 -859
63 296 4588
280 101 4189
245 162 5317
256 418 -220
99 34 945
455 179 5392
379 406 8029
469 24 3233
477 365 6678
319 344 3277
376 301 6109
100 181 4831
141 25 -671
220 171 2576
478 366 1462
406 238 8758
13 121 6165
235 149 4243
97 341 1561
320 466 1402
25 405 1534
163 409 2285
396 178 6488
461 49 4333
256 264 7898
486 233 4792
497 4 8359
219 300 8096
319 416 6516
46 351 4260
286 389 44
262 221 996
369 450 2207
385 232 9552
441 476 3980
214 425 3299
304 359 2845
191 395 5484
457 168 7204
378 122 3600
222 374 481
70 455 2945
427 356 3749
363 55 3040
429 120 6488
374 357 5905
196 458 1728
462 221 113
241 128 4960
491 392 2480
39 328 7342
181 378 1152
439 438 5914
188 118 2032
8 43 2204
226 197 2368
413 277 1627
419 235 9
111 409 -952
80 439 9019
63 221 4496
180 36 2739
442 418 3166
165 206 2082
80 193 4331
221 287 6408
59 172 3
401 348 678
120 133 6972
301 161 5397
29 402 8106
190 472 3542
349 406 643
115 407 1900
469 154 251
33 66 8431
230 237 5761
336 346 6777
366 207 9519
26 227 3779
362 36 9507
104 182 5514
153 105 9050
472 267 -532
41 220 8012
163 301 6143
90 461 9758
338 458 -606
1 182 6431
449 128 1644
69 135 2491
11 321 4466
14 95 7844
333 421 824
169 50 2352
279 45 1269
225 421 5013
369 382 7873
98 311 1428
406 321 4503
190 435 4808
158 19 4799
352 426 3540
260 391 7219
271 452 41
83 27 5348
125 89 8889
23 224 629
294 219 8567
273 447 6269
231 424 7916
436 362 426
118 485 3462
7 351 5787
78 422 5802
21 250 5118
498 281 2760
16 99 5511
453 470 9
231 259 7764
337 46 7058
343 316 7430
136 473 7323
189 338 8652
189 110 5869
246 398 8178
412 327 4332
117 118 847
491 330 3120
159 131 5355
148 108 4871
171 70 2700
185 32 4222
37 234 6142
68 463 6275
379 338 725
3 299 913
373 232 9336
498 450 4728
227 449 8413
42 321 1240
122 201 5647
328 131 9366
178 256 1197
201 477 5746
487 5 3235
362 485 8674
245 436 4710
212 382 6980
321 395 5244
174 203 233
235 5 700
456 182 1584
448 15 6499
289 226 1067
454 64 5947
312 167 8541
210 64 5972
243 271 4170
168 286 4325
213 105 4068
27 241 7638
121 227 7462
164 478 6363
205 154 5913
17 407 7624
144 328 8279
298 27 498
433 497 4417
485 28 7714
46 29 4855
120 334 1084
493 455 2033
220 339 9231
95 279 301
259 104 7564
302 361 9346
164 184 3927
131 384 1038
147 457 4036
435 391 6375
110 238 5263
483 257 4167
382 19 2297
212 214 1510
413 38 7557
17 110 -663
166 239 8529
225 452 5788
389 22 7102
307 372 1096
259 386 3956
151 146 7991
200 113 1255
118 337 796
373 393 6977
229 302 2712
174 26 6974
348 460 7145
44 380 -303
458 355 2231
468 246 9250
121 365 5153
407 386 3831
398 450 5994
65 84 8109
154 330 -423
277 273 5382
334 432 -3
450 410 6163
106 312 6985
127 452 8156
197 386 2091
300 255 5234
160 403 7329
372 196 3525
430 375 9052
129 302 1821
13 223 6896
499 196 8985
490 112 2521
367 278 -333
264 166 6748
156 196 1044
463 400 2228
182 419 5249
402 196 2362
497 56 622
101 444 2191
234 491 9123
291 382 1373
220 70 2217
37 270 4349
332 41 7908
133 311 6516
318 196 1721
55 307 -464
204 408 5942
237 264 9250
298 484 2544
20 48 7451
377 466 3781
66 68 3064
21 273 8841
433 136 366
199 277 8469
147 429 6619
449 498 -99
397 406 5222
358 53 7938
62 60 473
195 12 5828
447 296 4854
134 166 6633
315 76 6573
166 63 437
165 5 1604
48 227 5825
386 398 5976
425 263 3209
253 61 4226
77 385 2820
262 232 9330
482 41 1994
47 70 4823
423 23 3395
279 144 7460
350 276 7993
64 221 6376
249 458 6098
470 50 2333
268 249 9358
190 274 1589
299 52 9049
480 272 4593
221 374 4282
326 160 9917
78 485 2228
434 401 3815
170 55 9377
58 378 -195
130 59 5558
33 463 4563
60 76 5344
470 496 1973
196 224 -651
105 100 5809
352 29 6034
376 477 6155
344 286 8055
307 234 739
462 253 7367
453 313 751
244 261 3948
18 75 4353
152 409 8802
471 29 9980
465 68 2697
349 250 7073
346 12 5772
432 404 6967
140 113 4832
145 123 9672
81 270 -506
339 430 7728
234 261 8611
251 287 2030
79 293 -844
439 355 7318
133 477 9593
45 89 2851
282 251 1070
331 422 5463
224 394 2762
405 343 8452
43 160 4102
27 119 8620
270 327 -682
291 261 965
280 207 -898
266 52 237
332 433 8781
149 124 -134
131 101 2693
466 185 7518
11 260 1977
489 337 8440
415 348 7355
39 59 7031
250 182 -15
238 273 6157
345 128 2072
272 216 9309
300 235 395
223 257 9553
233 418 9579
95 341 3711
1 272 6364
268 197 8545
28 145 4196
418 208 6858
410 182 4913
153 487 9497
368 33 -789
122 274 8632
343 148 1536
395 90 9266
96 105 1943
126 434 3501
85 190 4061
299 80 5238
205 65 6197
143 340 1380
295 96 208
93 339 3834
193 267 -152
314 392 3711
459 53 1925
419 189 6232
162 37 -739
76 203 -685
24 476 -907
464 118 6632
105 380 6596
429 439 8708
340 98 5657
211 465 4511
6 170 4628
303 116 7069
355 272 2539
141 38 -638
357 470 5098
440 10 2279
215 359 728
224 189 8557
112 289 709
35 497 9536
471 42 8391
478 55 4207
86 277 2345
232 91 3357
258 464 1160
339 473 8910
378 296 7169
344 116 2179
150 53 2590
492 333 -465
354 216 9034
186 462 6305
193 154 2912
474 408 4212
18 362 673
230 221 4555
188 266 -341
417 196 8759
83 182 1104
436 358 1345
49 134 8129
48 447 5218
451 236 6745
28 111 9514
353 304 6272
391 375 9263
409 27 6888
335 375 -137
494 271 4715
149 370 -413
345 402 9890
415 165 3856
244 190 2795
417 219 6407
255 95 6717
456 362 -799
37 306 5568
424 165 4810
367 37 3535
422 488 9265
444 183 5364
261 337 4082
39 136 6258
398 186 1018
178 450 4146
297 219 5357
117 291 5779
337 438 6932
115 84 6985
97 145 4411
328 1 4627
181 499 5057
473 237 2659
109 53 6748
36 213 -583
289 450 6284
246 280 9410
92 42 5594
146 92 6367
33 496 193
423 109 -97
240 285 8838
12 485 2081
213 356 2041
393 20 -459
430 121 5063
475 417 5683
318 14 6890
226 127 6380
492 74 4268
