500 1259
0 499
486 484 7572
20 207 7582
370 153 7306
259 396 6040
190 449 3064
398 350 1110
313 373 5401
177 111 3442
391 178 6644
41 332 6052
57 229 2858
278 271 9108
388 43 2059
383 97 5434
471 124 -33882
485 237 -68382
257 397 9090
443 117 476
285 123 4827
307 373 6580
114 156 7934
186 56 9039
403 143 1209
239 341 5364
361 261 6465
243 486 7004
232 116 1994
387 380 -9889
137 320 6851
401 360 4974
125 328 5024
299 125 3656
406 238 2184
21 336 6289
269 90 8363
147 122 5128
270 233 2223
274 22 1778
11 434 4654
394 105 1772
287 190 3703
260 287 1084
276 7 1351
187 198 9201
400 88 6429
484 95 4309
337 499 -47774
480 338 3646
75 233 1162
47 359 6080
280 286 6835
309 128 3042
368 226 -8087
398 11 7593
36 186 7180
24 93 7687
354 298 9943
298 104 7385
345 190 8907
156 322 4138
477 212 4157
45 15 -68104
126 340 9123
446 110 7742
497 248 7128
132 119 7659
253 472 8262
136 77 270
82 285 1801
399 280 2970
430 488 7116
134 170 1420
178 296 854
144 192 5710
177 167 358
446 417 -53920
398 255 5455
480 82 8421
107 447 2581
281 121 725
196 150 -47910
344 316 7225
440 106 313
202 261 4863
489 274 532
283 111 942
199 338 346
276 336 1690
76 105 1017
238 60 -23974
169 217 5679
458 463 5895
228 194 3630
4 361 2874
107 104 2040
371 187 1619
386 376 4439
366 388 3699
284 176 7943
74 53 1993
291 164 6426
471 47 6992
491 262 884
269 374 8686
276 431 -7101
470 232 -59384
298 154 8246
461 118 6678
75 86 8875
188 479 2702
382 187 -52231
360 91 6763
367 158 207
64 339 2132
171 154 9636
427 15 1462
319 346 7649
58 241 3851
332 77 5095
88 341 6736
393 81 154
213 408 -66062
14 465 3462
338 99 3642
138 343 7903
61 159 6417
263 496 5674
193 350 9262
255 115 5455
308 342 773
434 89 8544
37 417 7603
53 113 3610
214 279 1000
143 265 -32843
437 56 -3104
17 96 2568
111 241 2631
489 317 2467
234 352 5235
465 319 4599
389 388 8051
413 76 901
164 353 3400
67 499 5926
353 221 5503
334 452 3301
185 87 7729
157 480 9989
113 442 4726
416 315 -4862
7 468 6239
111 15 3649
131 216 1325
404 498 7632
499 93 133
104 28 1734
6 66 1946
54 113 559
275 143 9650
262 30 2006
95 467 745
209 366 3539
100 207 4718
92 46 5448
64 447 7639
436 357 986
97 468 1754
411 327 2445
130 159 5445
215 74 8219
408 126 5628
203 20 9932
499 11 8388
259 372 2807
389 218 2297
189 433 -8105
46 284 114
176 293 4288
196 413 3664
97 470 -39891
315 237 7526
290 278 8173
193 281 3218
469 346 9701
335 266 4629
129 422 3659
299 195 9167
91 332 9299
19 32 2517
425 388 -44813
472 297 7627
322 487 -39416
449 156 856
34 305 8771
360 421 3574
149 382 -33710
366 489 6273
487 177 -3302
227 340 2955
331 405 9340
215 300 3240
378 325 4616
432 407 600
250 182 2142
283 293 960
44 2 9508
416 408 7492
420 169 4475
32 189 7968
133 415 4651
47 369 5813
348 293 579
233 118 3991
355 418 2218
153 180 2917
59 265 -38301
418 383 7229
98 133 -68373
421 98 6454
375 385 5393
91 288 -20501
205 341 3048
254 488 398
77 260 2879
460 348 4704
444 121 3909
415 145 5734
217 467 1999
105 152 -49373
250 187 5000
357 140 8620
69 343 7469
152 53 7650
467 456 2924
371 195 5959
93 125 1325
294 59 8834
355 464 2502
157 137 434
0 464 7316
198 83 3981
366 357 -36521
423 477 4900
251 289 8753
350 401 9279
61 488 4390
484 363 -10569
305 184 7889
155 363 5481
304 407 9378
495 444 1985
221 102 3519
16 13 9334
336 81 2509
194 250 6435
372 122 5976
103 398 3388
175 57 4427
134 281 8814
127 488 9322
295 126 1578
240 230 5255
284 150 958
383 282 3226
100 11 3025
305 241 2621
315 135 6012
481 491 4335
309 10 1329
436 99 9518
43 248 5811
191 412 -67736
248 110 6574
138 451 -47634
214 244 -60861
413 215 1698
323 442 3229
466 459 6945
341 365 3673
274 363 41
22 384 3212
34 139 2461
141 475 4295
188 426 747
261 183 -33448
23 116 2378
164 156 -6717
456 390 4327
107 294 7658
11 78 7952
73 393 5311
192 356 355
307 139 2198
268 322 6626
369 394 4747
324 121 256
68 438 3995
9 135 3964
332 122 6391
491 76 3569
40 431 593
45 136 7359
412 22 6988
387 366 9538
166 67 5199
450 48 3535
277 78 1976
151 404 1797
135 311 6352
295 204 6183
180 50 9853
358 444 -68739
98 257 3798
400 134 6718
187 100 5948
30 136 -26206
87 271 -7111
314 94 5858
0 210 -29926
236 55 5830
88 477 908
245 110 -4119
310 293 7983
236 487 335
316 466 7102
463 331 2815
208 495 3090
295 257 6362
375 29 5487
26 192 464
464 37 1337
382 195 2268
177 328 528
406 379 423
132 144 8138
244 363 4107
159 129 6308
294 301 2982
282 359 1797
1 195 1790
244 149 -33566
128 91 2087
96 310 8910
299 115 -4296
465 444 8511
30 106 -1654
306 246 673
99 101 8019
457 494 7477
374 50 9193
392 225 1073
237 45 2128
489 384 9738
303 468 9827
422 22 9002
429 398 8291
493 87 6527
217 356 2924
303 91 4368
89 274 1606
102 300 8902
42 114 1409
374 22 -67191
482 226 6730
302 31 7367
340 270 -50886
26 486 8741
339 64 223
430 138 4128
133 499 4846
2 444 4417
228 265 311
16 193 1936
155 432 3569
468 203 957
139 437 4209
395 288 7309
391 37 -25139
446 377 6344
441 472 1872
258 148 9001
3 179 4721
31 406 -44810
213 271 6909
162 44 1417
241 292 1366
169 161 5698
397 183 1623
343 125 1724
68 52 3670
106 94 -28769
422 39 9088
477 142 2562
467 426 2295
273 487 3320
101 290 5315
333 474 1040
131 71 4638
154 164 8711
452 468 3328
265 246 8587
195 356 4742
352 148 3941
105 119 8379
331 197 9368
345 3 6997
242 139 1839
184 89 417
270 86 2043
229 92 7111
358 84 3051
445 57 1627
62 254 2096
15 347 1411
140 433 986
122 152 6250
405 461 7801
234 398 1581
243 251 97
72 310 850
488 444 7654
235 351 5032
27 349 5506
0 479 1641
454 303 1546
154 282 2141
289 19 7010
148 266 9129
112 491 383
487 83 7488
174 149 4138
29 191 6979
411 393 1784
115 168 5021
181 449 1748
200 134 988
471 18 6515
463 142 5528
199 218 8586
472 220 4801
191 6 170
334 267 1896
219 55 6428
438 264 2983
141 151 1359
204 46 8374
143 336 6153
3 98 4202
85 93 6357
95 83 5156
109 72 568
427 72 4539
230 157 3086
440 143 2553
33 115 -46450
231 171 2971
156 342 8887
386 296 -69393
432 390 1383
162 317 9877
314 61 1725
19 31 2470
367 315 1848
173 474 7185
167 208 2429
227 198 5775
318 244 6560
434 454 8483
39 384 9214
29 230 7016
161 474 7698
168 156 5038
225 136 3266
171 461 2972
156 287 6318
296 244 8226
347 151 4381
318 341 760
153 264 8334
228 216 9652
258 331 1911
52 28 1930
264 242 5111
172 72 6642
122 96 5518
297 121 2664
279 173 7930
463 379 -65119
266 134 1640
109 160 7930
103 41 4932
265 435 9692
330 361 9900
161 82 6414
82 12 5871
470 432 8144
273 136 6927
412 107 3166
405 309 323
83 33 888
110 405 3459
441 85 2353
79 467 5158
333 168 2279
168 174 9126
216 94 8545
246 77 8060
216 314 8561
131 449 9036
342 475 7686
176 342 657
355 21 5794
48 264 4996
15 314 4197
458 391 170
452 85 409
347 164 300
488 128 5450
272 134 5289
421 441 -58524
118 308 3462
14 180 9588
158 248 3333
350 24 1114
96 367 1549
10 402 2618
339 354 5253
384 340 9738
62 93 6441
352 371 8213
89 228 7271
425 433 6492
223 217 3406
417 262 3402
289 59 1840
297 182 9905
7 170 1989
447 6 205
314 178 3030
196 382 1903
24 3 4013
116 342 -18802
436 157 3995
10 299 156
333 135 118
233 457 1020
318 479 7843
419 146 8708
479 173 2543
42 347 7359
380 139 6631
55 315 9900
261 179 9461
421 135 2918
242 262 3377
373 77 1954
356 402 6642
128 327 5701
28 465 -28463
469 21 8254
251 489 7486
279 322 5918
159 242 6538
431 139 3982
461 447 9220
101 449 4461
24 56 445
396 204 8492
351 272 5240
340 383 3240
95 309 8223
2 411 1707
257 351 -32837
90 179 8492
466 18 7123
204 93 587
252 358 3690
71 452 2310
182 77 9036
207 266 6205
222 211 5220
165 454 7944
287 173 8499
197 38 7255
419 190 2583
63 393 28
65 199 -58490
191 61 8722
262 116 3484
356 156 2660
328 168 8537
381 209 6628
122 261 2744
457 29 6735
462 51 373
48 179 3568
304 299 5253
456 427 2378
108 139 -60912
250 359 -49646
66 103 9874
444 371 831
495 35 1701
21 311 6510
371 17 677
379 11 7634
238 101 5369
292 105 3175
317 346 4482
415 26 8198
377 290 3656
56 260 7992
175 403 8344
208 217 2969
378 198 8391
288 254 976
13 282 9521
27 381 2067
390 369 6134
142 413 6927
261 424 6164
106 365 6776
431 247 -46516
326 154 3560
198 301 5857
268 240 3484
92 130 4894
145 247 3266
326 348 2108
132 31 527
359 19 7021
450 315 192
448 380 4145
288 331 7470
86 388 597
293 358 7522
200 460 7033
343 421 8620
368 433 586
189 114 4328
324 118 8371
140 8 6857
361 92 5234
232 446 4878
264 271 4709
340 190 3300
286 21 9055
284 259 9189
17 25 4498
483 155 9982
224 57 7794
76 68 6031
65 121 714
37 68 1692
239 140 7032
369 259 3166
345 238 4539
336 427 2811
393 291 1093
334 493 -42276
286 216 953
310 311 562
35 43 7897
363 66 -6591
431 465 5909
242 403 7998
424 403 2168
13 247 9375
277 187 9814
273 234 1439
386 338 9680
218 488 9780
464 18 5272
415 423 1198
194 13 6535
174 390 -2255
476 60 3814
144 473 9601
467 484 8001
148 252 468
102 67 9397
166 319 6336
381 277 3293
190 139 6116
392 175 1588
73 267 7940
116 196 4493
138 288 2231
179 444 9563
65 369 6919
390 160 7058
17 238 -13010
272 292 4217
93 138 5510
285 280 3084
348 440 9609
225 65 4455
173 486 4915
42 376 7307
226 263 8308
129 356 4405
478 380 5427
322 468 182
490 154 7149
264 289 6302
263 191 7835
490 299 3882
54 193 9816
219 251 -44158
478 109 7460
87 464 9505
455 488 3285
231 451 4020
207 434 4731
316 160 6439
432 471 9055
409 426 2829
136 186 3030
404 288 6419
448 431 8484
23 168 9342
462 481 9722
359 78 -885
433 365 -68547
402 306 6983
217 291 4138
308 291 9016
364 489 -65887
256 341 6757
376 63 8099
278 377 758
487 390 6316
19 173 831
287 317 6195
179 154 5405
218 312 5516
149 134 6194
260 188 8155
104 414 9730
230 172 8106
134 253 232
170 388 2424
66 118 6234
120 87 296
306 167 6968
119 254 637
233 477 5206
445 493 1543
125 71 2189
214 336 3985
410 113 5294
321 276 5168
174 46 1446
485 459 7980
6 349 988
443 294 3518
211 409 8243
28 417 7824
47 456 -12551
49 389 3105
60 275 1551
18 347 220
151 259 4231
146 388 -34524
59 121 312
222 72 5610
329 89 38
92 496 8119
325 458 8001
490 69 7350
346 237 9314
362 234 5833
277 53 8830
11 392 2028
422 276 4437
8 266 1696
51 108 546
149 468 4033
151 49 1259
208 214 2137
235 275 2181
124 259 943
97 156 -210
372 425 9564
265 93 4420
5 471 5192
393 113 4844
245 69 8609
271 223 3771
459 237 427
370 55 8050
150 62 6160
383 16 -67124
328 151 9091
186 94 7076
296 25 5635
278 446 6396
67 340 3304
472 359 8852
254 319 258
115 176 1923
137 71 8560
210 237 3109
365 216 3911
329 46 6029
496 84 4011
30 361 9651
105 18 823
38 163 6697
395 77 -1799
486 232 8068
410 323 12
59 356 1328
247 438 9116
63 26 2014
183 23 -8732
320 491 5267
153 494 -13338
219 428 5856
94 274 9072
117 399 184
192 323 8724
449 183 9612
496 374 -11538
263 310 6481
202 88 2196
69 198 8571
201 192 7949
402 19 8461
143 82 -37534
256 438 8430
480 393 630
8 234 -21183
335 226 6691
50 240 5653
247 181 9787
91 497 9304
325 75 9322
418 390 6170
195 219 -63115
385 35 3058
282 20 7070
155 317 4550
481 252 -9759
412 493 2764
407 108 3937
475 62 8983
39 67 1851
252 179 9435
494 207 1825
267 462 7126
417 361 -36973
8 96 1867
188 162 9983
12 108 9716
16 487 -13747
362 256 -42480
51 468 7388
341 355 7562
160 244 9715
146 346 1272
54 265 3389
84 206 9153
15 448 601
435 468 6038
157 332 7566
448 111 6413
164 487 1948
200 254 6383
175 452 -6824
376 277 3402
103 295 9162
4 454 1946
94 38 8542
438 179 5644
330 37 898
272 366 7194
220 208 7227
437 392 6971
206 247 5662
221 22 3204
370 451 1849
392 164 3410
300 54 2746
361 497 6822
231 28 2272
237 183 8635
109 336 562
205 112 4569
482 188 2141
245 313 8841
220 191 4651
294 43 -1014
160 143 8870
327 272 7459
492 244 7652
43 231 6418
141 156 402
249 156 -2521
82 428 9719
166 169 3556
57 42 9375
36 124 7308
163 309 5113
2 373 9547
344 370 3294
112 137 8890
172 191 2705
426 45 5187
301 83 3714
129 23 3928
454 290 411
426 256 424
479 270 9335
198 154 9254
111 159 1051
453 210 6123
74 236 4387
266 299 5898
126 220 5025
317 197 -31942
319 9 7411
206 163 7688
447 96 4851
224 431 6850
98 207 3923
110 322 3540
176 285 8433
238 10 6341
77 47 184
38 407 8676
81 408 928
99 361 1793
170 16 65
280 178 7542
474 54 3066
387 430 2752
180 208 4040
150 175 3012
31 235 9769
32 83 7964
419 260 3750
36 276 5342
455 325 3100
31 122 673
310 166 7136
291 129 6277
498 263 1963
468 103 389
425 338 9210
475 305 1379
285 122 216
189 313 8232
331 28 648
474 177 2069
352 201 8559
152 115 8254
271 367 8246
223 54 8741
123 44 8973
93 131 3857
414 66 1548
22 146 3918
493 465 2723
58 223 852
323 63 2123
127 168 7014
369 446 -23148
377 120 7926
84 93 9395
313 15 9459
401 321 1936
43 378 4545
301 50 3674
420 82 9150
22 201 9604
211 29 2873
347 451 2933
349 216 1904
455 138 1451
303 94 7124
253 371 8813
190 349 3602
227 482 -66443
433 296 9041
353 240 1801
203 492 8495
319 343 1160
33 422 7821
311 416 9069
186 137 7500
60 365 -24563
374 397 5906
492 53 8502
447 487 4898
491 465 1838
486 117 3279
168 47 6371
269 473 7421
232 183 9712
86 54 45
142 145 2351
397 395 2360
429 174 8588
81 272 6079
46 268 1247
209 146 509
118 281 7026
326 321 6414
46 27 541
267 302 1570
384 76 127
215 197 2880
45 461 178
20 380 7307
60 99 8421
212 89 945
473 221 2297
292 364 3495
451 3 2305
291 260 3603
147 63 5415
363 24 361
473 425 5171
114 232 -41893
114 41 5603
197 247 7820
407 201 -18312
304 197 9263
57 490 1299
163 197 3266
125 112 208
378 79 1154
249 444 9158
229 174 2669
128 260 281
182 5 8393
410 366 8628
62 403 3982
343 397 8017
40 324 7976
460 238 8255
117 52 8313
